time,left effort,right effort,x accel,y accel,z gyro,range,encoder left,encoder right,vel left,vel right
197.906,0.5026381,0.3439121,38.87051,7.682349,2426.108,263.1443,-273.9147,300.7229,-0.00602407,0.005698395
198.166,0.5489708,0.3812265,-14.32149,-36.23765,-5063.892,10.30928,-278.2968,304.5573,-0.005690919,0.004715174
198.489,0.6844206,0.6726461,-39.20949,10.12235,6556.108,258.1271,-285.5144,311.3882,-0.01022711,0.01055183
198.796,0.5661209,0.6412639,-39.20949,-30.86965,24126.11,16.82131,-294.5042,321.3447,-0.009238661,0.01118366
199.084,0.5651881,0.6235066,14.95851,-9.885652,17826.11,13.0756,-302.3662,331.1077,-0.00841608,0.01051998
199.344,0.6974067,0.5257708,-2.121487,33.05835,6766.108,12.38832,-309.4872,339.292,-0.009213417,0.0103446
199.62,0.6447745,0.5509374,-55.80149,-18.18165,-24243.89,14.811,-318.187,347.3151,-0.01307462,0.01178295
199.975,0.5614534,0.6286893,-11.39349,-93.82165,1166.108,220.6873,-329.11,357.5294,-0.01659631,0.01675747
200.314,0.2627518,0.9061125,3.246513,96.49835,41276.11,294.1237,-337.9387,368.9358,-0.01286844,0.02107196
200.629,0.1866733,1.117695,-103.6255,-51.36565,118276.1,117.0103,-343.3842,382.7266,-0.006424193,0.02023604
200.954,0,0,129.6385,-387.5977,101406.1,294.0034,-347.0896,397.2262,-0.004489693,0.01956154
201.295,0.413172,0.3652372,-170.4815,-67.46965,-4713.892,236.9931,-348.2818,399.2883,-0.004001799,0.002881125
201.697,0.2999918,0.5184801,-53.36149,0.8503489,29586.11,294.2096,-352.1161,405.2172,-0.008786228,0.01597529
201.957,0.4920722,0.4156332,37.40651,-40.62965,35186.11,8.247422,-354.9517,410.5015,-0.003509966,0.006860513
202.217,0.5194944,0.4101738,28.13451,-56.73365,2006.108,6.924398,-359.076,415.4957,-0.005576913,0.005895343
202.476,0.5852139,0.3772256,2.758513,-61.61365,-14303.89,6.28866,-364.1992,420.2645,-0.006842928,0.005569779
202.752,0.5852139,0.3772256,31.55051,58.92235,-34813.89,7.594501,-370.9335,424.9689,-0.008105028,0.005403251
203.013,0.3609498,0.6400877,-30.91349,94.54635,16566.11,10.65292,-377.0556,429.8021,-0.006348603,0.006824977
203.287,0.3977064,0.5406553,7.638513,-20.62165,41136.11,7.920962,-381.7599,437.3741,-0.006656951,0.0115707
203.552,0.5470431,0.4446098,44.23851,-58.19765,5716.108,5.618556,-386.5287,444.3662,-0.00617362,0.00759821
203.814,0.5604414,0.4491625,-14.32149,103.3304,-15703.89,5.292096,-392.7474,449.8761,-0.007904529,0.00648177
204.072,0.5414182,0.4615839,-44.57749,13.53835,-26693.89,230.6186,-399.6428,455.0637,-0.01673657,0.0124734
204.371,0.4253067,1.069958,-77.76148,2.802349,48136.11,116.8213,-406.9893,463.2802,-0.007883134,0.01214007
204.661,0.3809037,1.061594,-99.72148,53.55435,77746.11,109.4158,-413.7236,476.1688,-0.008344204,0.01763304
204.968,0.3501372,1.001115,-78.73749,15.49035,114846.1,133.9347,-420.6512,491.925,-0.009274773,0.02279408
205.251,0,0,119.3905,-474.9497,90486.11,7.90378,-425.71,505.587,-0.003767955,0.01145998
205.513,0,0,-4.561487,-37.21365,-513.8922,7.250859,-426.3866,507.6492,0,0
205.768,0.2202952,0.1803962,3.246513,1.338349,46.10779,7.250859,-426.3866,507.6492,0,0
206.026,0.2540952,0.1946803,9.102513,-2.565651,-1143.892,5.945017,-427.0311,508.0036,-0.000781803,0.000625383
206.289,0.2609072,0.2034966,13.00651,15.49035,-2893.892,6.924398,-427.8688,508.5836,-0.001093395,0.000781102
206.565,0.4154076,0.321096,-1.633487,-60.63765,-5763.892,7.57732,-428.8999,509.2924,-0.00140381,0.001091787
206.827,0.5219986,0.5370864,32.52651,187.2664,-13113.89,7.920962,-432.3476,512.1924,-0.005920051,0.005140981
207.088,0.4850646,0.5117855,47.16651,85.27435,-5413.892,8.934708,-437.9541,517.4767,-0.006846148,0.006534766
207.366,0.4660072,0.5352761,-101.6735,88.69035,-19343.89,8.934708,-444.2051,523.2443,-0.007147641,0.006215481
207.631,0.4431013,0.6203889,9.102513,53.55435,11386.11,10.30928,-449.9405,529.012,-0.006362465,0.006983308
207.892,0.4131059,0.6867805,-148.5215,-40.14165,37356.11,8.934708,-455.3537,535.9396,-0.006199755,0.008989161
208.175,0.8054272,0.4428397,-27.98549,23.29835,33156.11,6.271478,-460.7991,544.4138,-0.006500644,0.008667329
208.434,0.9190351,0.4517426,3.246513,37.45035,-28023.89,5.618556,-468.1779,551.0193,-0.009893607,0.007729468
208.712,0.831901,0.4026896,64.73452,-83.57365,-66383.89,7.57732,-478.7787,557.7213,-0.01621009,0.009108834
208.979,0.4647083,0.6861236,-9.929487,-51.36565,21326.11,55.92783,-488.0908,565.3578,-0.008942694,0.01079292
209.269,0.2051571,0.9031978,-166.5775,-33.30965,89156.11,199.811,-494.0195,575.8943,-0.005696973,0.01431987
209.559,0.1562637,0.7710192,-34.32949,-40.62965,117366.1,109.0378,-497.6283,588.1706,-0.003843987,0.01445325
209.896,0.7356065,0.5562513,-84.10548,50.13835,78376.11,293.5911,-500.9793,599.577,-0.005679664,0.01473682
210.175,0,0,83.76652,-187.0296,11316.11,90.36082,-507.1336,607.1813,-0.005672414,0.007512108
210.452,0,0,4.710513,-1.101651,46.10779,8.230241,-507.8748,608.2124,0,0
210.719,0.4502703,0.4676784,43.75051,-23.06165,1866.108,7.250859,-509.3891,609.8235,-0.003211081,0.003670179
210.994,0.4285571,0.4585845,56.43851,36.96235,-6113.892,79.22681,-513.4168,613.98,-0.005650396,0.005191896
211.295,0.3883376,0.5131114,52.04651,-25.98965,-12553.89,78.14433,-518.5722,618.8132,-0.006099616,0.005185079
211.573,0.3883376,0.5131114,37.89451,-69.42165,5016.108,81.47766,-523.341,623.9687,-0.005330295,0.006244209
211.838,0.4087983,0.6588482,-7.489487,120.8984,26856.11,10.30928,-527.7876,629.4141,-0.005019659,0.006996751
