time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
624.496,0.9332011,1.20684,-13.83349,20.37035,23356.11,77.45705,-1706.61,2102.74,-0.003663501,0.004385568
624.793,0.4148224,1.742169,-84.59348,24.76235,58076.11,159.1924,-1718.435,2117.53,-0.004538222,0.006395087
625.082,0.3798276,1.854379,-85.56949,76.49035,105466.1,102.646,-1726.845,2133.254,-0.00283498,0.006134352
625.407,0.387463,1.873674,-43.11349,133.0984,112676.1,114.1581,-1734.449,2151.073,-0.002782173,0.006594534
625.67,0,0,34.47851,-160.1897,24966.11,20.37801,-1737.736,2160.32,-0.000411863,0.00133919
625.932,1.028024,0.9775202,-97.28149,194.5863,-15213.89,20.72165,-1740.99,2163.478,-0.002625382,0.002470925
626.212,1.018593,0.9840042,52.04651,-74.78965,-10453.89,19.72509,-1753.299,2175.078,-0.005350952,0.005042955
626.477,0.9317525,1.196182,70.10252,97.47435,16356.11,56.95876,-1767.702,2189.61,-0.005914538,0.006274625
626.77,0.4602022,1.540182,-40.67349,25.25035,79986.11,85.25773,-1781.911,2207.267,-0.005552245,0.00827656
627.051,0.411899,1.672812,-97.28149,-86.01365,101126.1,81.2543,-1790.804,2223.345,-0.003185834,0.006165704
627.348,0.9221038,-0.04136446,-115.3375,7.194349,104346.1,16.16838,-1798.57,2239.649,-0.002773564,0.006060434
627.635,0.2273741,0.1889775,-45.55349,-78.69365,-9683.893,16.49484,-1805.917,2244.934,-0.000924229,0.000461725
627.996,0.2087837,1.098223,0.3185129,86.25035,-1143.892,293.9862,-1807.527,2246.899,-0.00118028,0.001744373
628.262,0.2914797,1.037926,-65.07349,47.69835,91606.11,11.35739,-1810.041,2255.083,-0.001230686,0.003846331
628.547,0.6779664,0.6073992,-33.35349,-98.21365,76416.11,6.597938,-1814.487,2266.877,-0.002101744,0.004357303
628.815,1.282283,0.726448,-21.15349,-63.56565,-15913.89,4.312715,-1822.188,2275.705,-0.003843337,0.003432951
629.091,-0.03848153,-0.9911077,-316.8815,387.3463,3896.108,59.2268,-1832.306,2283.986,-0.003432028,0.002919561
629.414,-0.03014681,-0.9886312,-37.25749,-107.9736,-128123.9,3.006873,-1832.918,2277.123,0,-0.003480886
629.679,0,0,-19.20149,114.5544,-39153.89,16.49484,-1832.918,2269.1,0,-0.001484201
630.012,0,0,4.222514,-3.541651,46.10779,260.0344,-1832.918,2268.842,0,0
630.333,0.3920749,0.3251326,22.27851,-50.87765,2216.108,260.3264,-1833.304,2269.519,-0.000408623,0.000511263
630.639,0.5058723,0.4192854,-17.73749,-2.565651,4596.108,9.965635,-1835.431,2271.839,-0.000970734,0.001022029
630.925,0.5414182,0.4615839,-59.21749,-11.83765,6556.108,9.621993,-1839.233,2275.834,-0.001531768,0.001634505
631.188,0.5791395,0.5158142,84.74252,245.3383,-2823.892,9.278351,-1843.97,2280.796,-0.002042086,0.002144394
631.451,0.5553631,0.5505471,26.67051,13.53835,2356.108,11.01375,-1849.899,2286.693,-0.002347257,0.002449328
631.727,0.7507453,0.9332111,-14.32149,170.1864,10686.11,10.32646,-1856.472,2293.621,-0.002550285,0.002805352
631.992,0.7504189,0.5946278,54.48652,-44.53365,6766.108,10.32646,-1865.01,2303.094,-0.003568864,0.003722033
632.255,0.5264549,0.4058562,-19.20149,-5.005651,-13603.89,12.04467,-1874.419,2311.922,-0.003822233,0.003363688
632.521,0.5058723,0.4192854,3.246513,-41.60565,-14023.89,294.3986,-1882.217,2318.882,-0.004584674,0.004228414
632.816,0.5702838,1.482551,-28.96149,105.2823,26226.11,61.80412,-1891.013,2328.033,-0.003869771,0.004735313
633.099,0.4175354,1.628456,-33.35349,-123.1017,79566.11,103.5567,-1900.003,2341.759,-0.003562623,0.006463509
633.371,-0.4951236,-0.5974257,135.4945,-296.3417,18806.11,294.0894,-1904.546,2351.587,-0.000712334,0.002696309
633.648,0.3475281,1.93764,4.710513,-42.09365,-25923.89,268.8488,-1901.84,2347.785,0.00162671,-0.002237786
633.926,0.4529593,1.548901,-107.5295,-65.51765,74946.11,222.1134,-1904.095,2353.649,-0.001829535,0.004269493
634.25,0.482234,1.519626,-7.001487,-8.909651,94406.11,165.6529,-1911.313,2368.6,-0.002946817,0.005842053
634.542,0,0,-150.9615,-112.8537,98816.11,16.18557,-1919.078,2384.034,-0.0027931,0.005535027
634.811,0.7751098,0.6078202,1.294514,-63.07765,-163.8922,16.49484,-1921.591,2389.64,-0.000101531,0.000355359
635.089,0.9281062,0.7517539,-63.12149,156.0343,-653.8922,16.82131,-1926.908,2394.055,-0.003043834,0.002790501
635.353,0.9855978,0.8084416,59.85451,29.64235,-27253.89,14.45017,-1937.734,2403.463,-0.004665874,0.00395557
635.618,0.9405736,0.8542886,34.96651,55.99435,-22003.89,14.12371,-1951.171,2415.192,-0.005373362,0.004765524
635.904,0.6167545,1.461692,-47.50549,-69.90965,19226.11,95.9622,-1965.542,2429.047,-0.005117937,0.005472493
636.21,0.415501,1.747414,-115.8255,-45.99765,85446.11,181.4089,-1977.238,2445.416,-0.003798472,0.006279941
636.497,0.415501,1.747414,-20.17749,-53.31765,98326.11,132.1134,-1985.197,2460.689,-0.00293603,0.005923458
636.801,0.3382598,1.544518,-100.2095,-118.7096,112046.1,105.189,-1992.769,2477.025,-0.00263137,0.006123059
637.068,0,0,31.06251,-120.6617,22656.11,14.46735,-1996.152,2486.337,-0.000404686,0.001365049
637.35,0.883889,0.8245832,139.3985,174.5784,-29983.89,15.84192,-2000.051,2490.236,-0.003487915,0.003285853
637.613,0.7852549,0.9553209,8.614514,100.4024,-22073.89,16.16838,-2010.49,2499.322,-0.004649146,0.003890625
637.875,0.801515,1.173119,52.04651,39.89035,18526.11,16.82131,-2022.187,2511.341,-0.004597097,0.005101548
638.156,0.7852579,1.136071,-27.00949,110.1624,45966.11,16.49484,-2034.657,2526.485,-0.004443383,0.005706061
638.421,0.9962524,0.9882008,-13.83349,94.05835,21956.11,10.65292,-2047.416,2541.597,-0.005299291,0.005804267
638.683,1.169027,0.8693738,4.710513,-15.74165,-3593.892,6.941581,-2062.045,2556.548,-0.005700971,0.005650131
638.993,-0.01176471,1.054902,18.37451,-229.9736,13416.11,187.1306,-2074.901,2570.016,-0.002218686,0.002622153
639.297,0.4914884,1.512951,21.79051,181.8983,103576.1,127.6117,-2077.447,2580.617,-0.001663509,0.004838154
639.553,0,0,27.64651,-438.3497,74176.11,237.4227,-2081.958,2591.089,-0.002367911,0.005592437
639.907,0.575773,0.5617253,5.686513,-2.077651,46.10779,294.055,-2082.602,2592.345,-0.000352911,0.000201445
640.243,0.4241325,0.5602983,-18.22549,-34.77365,14396.11,294.5704,-2086.855,2597.179,-0.00246641,0.003170717
640.551,0.4701619,0.705838,-42.62549,-5.493651,16846.11,11.70103,-2092.558,2604.429,-0.002162597,0.002716777
640.833,0.5926828,0.6807588,23.25451,108.2104,7256.108,10.6701,-2099.422,2612.613,-0.002715582,0.00306722
641.099,0.5991638,0.6706013,21.30251,-81.62165,12366.11,11.35739,-2106.704,2621.087,-0.003015299,0.003517976
641.358,0.5509374,0.6447745,-21.15349,-7.933651,9496.107,10.30928,-2114.308,2629.271,-0.002914349,0.003164824
641.636,0.567674,0.6591191,5.686513,143.8344,20556.11,9.621993,-2121.848,2637.778,-0.002560745,0.003163834
641.949,0.5099648,0.6529902,82.79052,-45.50965,25876.11,293.8831,-2129.484,2647.863,-0.004165933,0.005722168
642.25,0.5265973,1.252983,28.13451,-18.66965,77186.11,155.4124,-2136.348,2658.722,-0.002609235,0.004816289
642.554,0.48932,1.412055,-15.29749,111.1384,112326.1,70.6701,-2143.694,2673.511,-0.002356472,0.005516164
642.844,0,0,-47.01749,-65.51765,135356.1,6.941581,-2148.398,2687.56,-0.000551064,0.004360658
643.101,0,0,15.44651,9.634349,-2053.892,3.986254,-2148.527,2690.686,0,0
643.381,0.9298742,0.761227,-24.08149,36.47435,-1843.892,3.006873,-2151.266,2693.07,-0.002053665,0.001852928
643.64,0.974159,0.9090107,28.13451,108.6983,-5203.892,3.006873,-2160.836,2701.963,-0.004455403,0.004205057
643.918,1.000569,0.8962705,-68.00149,-53.80565,-10873.89,2.680412,-2174.756,2715.496,-0.006605148,0.006405337
644.177,1.153666,0.9448092,17.39851,84.29835,-28093.89,3.969072,-2189.481,2728.61,-0.00585208,0.00500237
644.438,0.9862926,1.015567,-68.00149,13.53835,-583.8922,7.268041,-2204.464,2742.691,-0.005649681,0.005649681
644.733,0.5012677,1.506851,-123.6335,14.51435,22796.11,186.9072,-2219.382,2758.479,-0.005047662,0.005747065
645.032,0.4120518,1.711484,-95.81748,-78.69365,89716.11,165.3436,-2229.21,2773.946,-0.00324672,0.005994585
645.381,-0.4965912,-0.5947751,-5.049487,-365.1497,33016.11,237.5601,-2235.138,2787.253,-9.99E-05,0.00189712
645.735,0.3928121,1.886642,2.270514,74.53835,-31943.89,293.7801,-2231.916,2782.227,0.001696453,-0.002494961
646.039,0.4297292,1.589022,-50.92149,61.85035,77956.11,160.8935,-2235.3,2790.185,-0.001945449,0.004438859
646.327,0,0,-65.56149,-25.01365,98186.11,179.5704,-2241.389,2803.622,-0.00269212,0.005932713
646.607,0,0,33.50251,33.54635,-863.8922,15.84192,-2243.194,2808.229,0,9.97E-05
646.867,0.3839126,0.3769121,19.83851,168.2343,-6113.892,15.85911,-2243.838,2808.648,-0.000548014,0.000498195
647.137,0.5144283,0.7356112,-23.10549,127.2424,19646.11,14.811,-2247.093,2812.483,-0.001742953,0.002140965
647.423,0.6951263,0.8705573,10.56651,47.21035,32876.11,12.73196,-2253.247,2821.086,-0.00243868,0.003434213
647.691,0.9804172,0.8290543,-24.56949,-93.82165,15236.11,8.247422,-2262.011,2832.267,-0.003830841,0.004476916
647.959,1.245946,0.8875312,31.06251,3.290349,-15003.89,4.639175,-2275.093,2844.704,-0.00527121,0.004873325
648.266,-0.295684,0.8396382,59.36651,-336.8457,-33343.89,75,-2290.914,2858.141,-0.004224762,0.003181565
