time,left effort,right effort,x accel,y accel,z gyro,y head,y tail
26869,0,0,-1.570662,3.485333,16.44809,178,144
27004,0,0,-1.082662,0.5573335,16.44809,178,144
27099,0,0,-2.058662,2.509334,16.44809,178,144
27215,0,0,1.845338,-1.394667,16.44809,178,144
27305,0,0,1.845338,0.06933343,16.44809,178,144
27380,0,0,-1.570662,0.06933343,16.44809,178,144
27513,0,0,-2.058662,0.5573335,-53.55191,178,144
27587,0,0,-0.5946617,-0.4186666,16.44809,178,144
27683,0,0,0.869338,-2.858667,16.44809,178,144
27798,0,0,-1.570662,-1.394667,16.44809,178,144
27892,0,0,0.3813381,-0.4186666,-53.55191,178,144
27966,0,0,-0.5946617,-1.394667,-53.55191,178,144
28100,0,0,2.821338,-0.4186666,16.44809,178,144
28195,0,0,-0.1066618,-0.4186666,-53.55191,172,140
28308,0,0,1.357338,0.5573335,16.44809,178,144
28406,0,0,-1.082662,1.045333,16.44809,178,144
28480,0,0,0.869338,0.5573335,16.44809,178,144
28613,0,0,0.3813381,-2.370667,16.44809,178,144
28687,0,0,2.333339,0.5573335,16.44809,178,144
28816,0,0,1.845338,-1.394667,16.44809,178,144
28891,0,0,0.3813381,-2.858667,-53.55191,178,144
28985,0,0,1.357338,-0.9066666,16.44809,178,144
29062,0,0,-2.546662,1.533334,16.44809,178,144
29200,0,0,-0.1066618,-0.4186666,-53.55191,174,144
29278,0,0,-0.5946617,0.06933343,16.44809,178,144
29403,0,0,1.357338,0.06933343,16.44809,178,144
29499,0,0,-1.570662,-0.4186666,16.44809,178,144
29613,0,0,-1.082662,-2.858667,16.44809,178,144
29710,0,0,-0.1066618,-2.370667,16.44809,178,144
29788,0,0,-1.570662,0.06933343,-53.55191,178,144
29884,0,0,-0.1066618,0.5573335,-53.55191,178,144
29999,0,0,-0.1066618,0.5573335,16.44809,178,144
30094,0,0,0.3813381,-0.9066666,-53.55191,174,144
30223,0,0,-0.5946617,0.06933343,16.44809,180,144
30300,0,0,4.285338,0.5573335,-53.55191,180,144
30378,0,0,0.3813381,-0.4186666,-53.55191,178,144
30511,0,0,0.869338,1.533334,16.44809,178,144
30608,0,0,0.3813381,1.045333,16.44809,178,144
30687,0,0,0.869338,-0.9066666,16.44809,178,144
30790,0,0,-1.082662,0.06933343,-53.55191,178,144
30907,0,0,-2.546662,2.509334,16.44809,178,144
30999,0,0,1.845338,-0.4186666,16.44809,178,144
31113,0,0,1.357338,-0.9066666,16.44809,178,144
31207,0,0,-0.5946617,-1.394667,-53.55191,178,144
31282,0,0,0.3813381,1.045333,16.44809,178,142
31413,0,0,-1.082662,-1.882667,86.44809,178,144
31488,0,0,1.357338,-2.858667,16.44809,178,144
31584,0,0,-1.570662,0.06933343,16.44809,178,144
31716,0,0,-1.082662,-0.9066666,16.44809,172,144
31791,0,0,0.3813381,1.045333,-53.55191,178,144
31868,0,0,0.869338,2.509334,-53.55191,178,144
31996,0,0,-1.570662,2.021333,16.44809,178,144
32091,0,0,0.869338,1.045333,-53.55191,178,144
32208,0,0,-2.058662,0.06933343,-53.55191,178,144
32301,0,0,1.845338,-1.394667,16.44809,178,144
32415,0,0,1.357338,0.06933343,16.44809,178,144
32508,0,0,0.869338,-0.4186666,16.44809,178,144
32584,0,0,-0.1066618,0.5573335,16.44809,178,144
32681,0,0,0.3813381,-1.394667,-53.55191,178,144
32796,0,0,-1.570662,-10.17867,-123.5519,178,144
32887,0,0,0.869338,-9.202667,-53.55191,172,144
32964,0,0,3.797338,-12.13067,16.44809,178,144
33095,0,0,1.357338,6.413334,16.44809,178,144
33191,0,0,1.357338,1.533334,86.44809,178,144
33306,0,0,0.869338,-5.786667,16.44809,178,144
33391,0,0,2.333339,2.021333,16.44809,176,144
33507,0,0,-0.5946617,-7.250667,16.44809,178,152
33600,0,0,0.3813381,-5.298667,16.44809,178,144
33681,0,0,0.869338,0.06933343,86.44809,178,144
33816,0,0,-0.1066618,3.973333,16.44809,172,144
33892,0,0,-2.058662,-2.370667,16.44809,178,144
33987,0,0,1.845338,-0.9066666,-53.55191,178,144
34065,0,0,1.845338,-3.834667,16.44809,178,144
34195,0,0,0.869338,2.997334,16.44809,178,144
34288,0,0,-0.5946617,0.06933343,16.44809,178,144
34403,0,0,-0.1066618,0.5573335,16.44809,172,144
34498,0,0,-1.570662,-0.9066666,-123.5519,178,144
34614,0,0,-1.082662,1.045333,16.44809,178,144
34708,0,0,-1.570662,-0.4186666,16.44809,172,144
34783,0,0,0.869338,-0.4186666,16.44809,178,142
34907,0,0,-0.5946617,2.021333,16.44809,178,144
34983,0,0,-1.570662,0.06933343,-53.55191,178,144
35116,0,0,-1.082662,-0.4186666,16.44809,172,144
35209,0,0,0.869338,-2.370667,-53.55191,178,144
35284,0,0,1.357338,-0.9066666,16.44809,178,142
35362,0,0,-2.546662,2.509334,16.44809,178,144
35494,0,0,-1.082662,-1.394667,16.44809,178,144
35590,0,0,1.357338,-0.4186666,-53.55191,178,144
35710,0,0,-0.5946617,5.437334,16.44809,172,144
35806,0,0,-0.5946617,1.533334,16.44809,178,144
35884,0,0,3.309339,-0.4186666,86.44809,178,154
36016,0,0,1.357338,0.06933343,16.44809,178,144
36093,0,0,-1.570662,1.533334,-53.55191,178,144
36188,0,0,0.3813381,0.06933343,-53.55191,178,144
36321,0,0,-1.082662,-2.858667,16.44809,178,142
36397,0,0,1.357338,-2.370667,-53.55191,178,144
36474,0,0,-2.058662,-0.4186666,16.44809,178,144
2253,0,0,1.845338,-1.882667,-53.55191,154,150
2367,0,0,0.869338,1.533334,16.44809,154,152
2453,0,0,0.869338,1.045333,16.44809,146,150
2528,0,0,-1.570662,1.045333,16.44809,154,152
2659,0,0,-1.082662,1.045333,-53.55191,154,150
2741,0,0,-0.1066618,-0.4186666,16.44809,154,150
