time,left effort,right effort,x accel,y accel,z gyro,y head,y tail
11912,0,0,122.6734,-3.748602,12064.64,154,0
12122,0,0,120.2334,-2.772602,12064.64,154,0
12335,0,0,122.1854,-4.724603,12064.64,154,0
12551,0,0,122.6734,-3.748602,12064.64,154,0
12767,0,0,121.2094,-4.724603,11994.64,154,0
12981,0,0,120.7214,-5.700603,12064.64,154,0
13190,0,0,123.1614,-6.676602,11994.64,154,0
13406,0,0,119.2574,-5.212603,11994.64,152,0
13635,0,0,120.7214,-4.724603,11994.64,154,0
13847,0,0,121.6974,-6.188602,12064.64,154,0
14052,0,0,120.2334,-5.212603,12064.64,154,0
14266,0,0,121.6974,-2.772602,11994.64,154,0
14479,0,0,122.1854,-3.748602,12064.64,154,0
14693,0,0,120.2334,-2.772602,12064.64,154,0
14901,0,0,120.7214,-3.748602,11994.64,154,0
15111,0,0,121.6974,-3.260602,12064.64,154,0
15328,0,0,124.6254,-4.236603,12064.64,156,0
15531,0,0,118.2814,-6.188602,11994.64,154,0
15747,0,0,118.7694,-7.164602,11994.64,154,0
15958,0,0,122.6734,-2.772602,11994.64,154,0
16193,0,0,123.1614,-7.164602,11994.64,154,0
16405,0.2527902,0.1516848,120.2334,-5.700603,12064.64,154,0
16616,0.4017318,0.305375,119.7454,-24.2446,13394.64,154,0
16827,0.4017318,0.305375,142.6814,-4.236603,15074.64,156,0
17036,0.4364855,0.3498986,129.9934,77.74741,18224.64,156,0
17277,0.4364855,0.3498986,94.85741,-12.0446,16474.64,160,0
17487,0.4364855,0.3498986,114.3774,-28.1486,17104.64,160,0
17717,0.4542403,0.3718348,141.7054,34.8034,16544.64,162,0
17929,0.4631967,0.3827348,100.7134,29.4354,22004.64,162,0
18146,0.5079345,0.4198586,74.3614,-19.3646,24524.64,164,0
18358,0.5532793,0.4737553,186.1134,78.7234,20044.64,150,0
18575,0.5808946,0.5057516,100.2254,-1.308602,24174.64,150,0
18786,0.6435032,0.5646358,51.42541,-33.5166,29494.64,146,0
18997,0.6643493,0.5522032,81.68141,102.6354,28934.64,148,0
19204,0.7416997,0.5232114,125.1134,-91.1006,-5715.363,90,0
19415,0.9207552,0.5214654,111.4494,14.3074,-11945.36,90,0
19671,0.9493018,0.5270451,207.0974,-43.7646,-26225.36,104,18
19886,0.9684883,0.5315117,93.39341,-30.1006,-27415.36,104,48
20102,0.9493018,0.5270451,123.1614,77.2594,-26645.36,80,70
20343,0.9924757,0.528708,153.4174,30.8994,-27975.36,80,60
20573,1.020131,0.4931437,-88.14259,-74.0206,-31475.36,238,216
20794,1.133474,0.4870201,237.8414,-4.724603,-39245.36,232,204
21005,1.133474,0.4870201,129.5054,142.1634,-38055.36,232,68
21220,1.133474,0.4870201,225.6414,7.475397,-44355.36,214,0
21444,1.133474,0.4870201,146.0974,-80.8526,-60315.36,NA,NA
21670,1.184132,0.5078495,188.0654,167.5394,-41695.36,NA,NA
21892,1.428007,0.6258673,21.65741,5.035398,-41835.36,NA,NA
22112,1.480436,0.6662824,148.0494,42.6114,-18035.36,NA,NA
22354,1.480436,0.6662824,142.1934,86.0434,-6485.363,NA,NA
22581,1.480436,0.6662824,201.2414,27.4834,-15655.36,124,100
22812,1.361221,0.6155443,133.4094,88.97141,-7255.363,NA,NA
23036,1.09111,0.5635803,237.8414,29.9234,-18595.36,NA,NA
23266,0.7136512,1.41989,149.5134,124.1074,21654.64,238,156
23481,0.6475996,1.440174,168.5454,200.2354,68414.64,224,128
23694,0.5143907,1.499958,155.3694,-19.3646,85144.64,226,0
23905,0.4509534,1.551545,37.76141,-11.0686,94944.64,224,92
24134,0.4509534,1.551545,7.01741,-118.4286,105794.6,224,116
24341,0.4509534,1.551545,74.3614,2.107397,102854.6,222,120
24582,0,0,115.3534,-264.3406,50074.64,238,228
24790,0,0,136.8254,-16.4366,11994.64,238,228
24999,0,0,124.6254,-6.188602,12274.64,238,226
25237,0,0,131.4574,-8.140602,12064.64,126,108
25448,0,0,129.9934,-6.188602,11994.64,152,126
25679,0,0,130.4814,-6.676602,11994.64,136,110
25889,0,0,129.5054,-8.628602,11994.64,220,148
26101,0,0,130.4814,-6.188602,12064.64,228,124
26312,0,0,132.9214,-6.676602,11924.64,136,108
26519,0,0,130.4814,-6.676602,11994.64,156,126
26727,0,0,132.4334,-6.676602,11994.64,228,122
26938,0,0,129.9934,-8.628602,11994.64,156,122
27144,0,0,130.9694,-7.164602,11994.64,136,110
27361,0,0,132.4334,-6.188602,11994.64,126,108
27568,0,0,131.4574,-6.188602,11994.64,152,124
27779,0,0,129.9934,-6.188602,12064.64,224,126
27990,0,0,129.0174,-9.116602,11994.64,144,120
28216,0,0,133.4094,-5.700603,11994.64,228,238
28423,0,0,131.4574,-6.676602,12064.64,238,228
28640,0,0,131.9454,-7.652602,11994.64,238,230
28852,0,0,132.9214,-7.164602,12064.64,238,228
29059,0,0,132.9214,-9.116602,11994.64,238,224
