time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
413.584,0.5576161,1.485126,394.9468,-316.6623,-14233.89,2.989691,-955.8497,1179.596,-0.008725739,0.008180445
413.901,0.3769985,1.934612,329.5548,-355.7023,79566.11,208.2646,-969.4473,1196.802,-0.006383681,0.01027612
414.174,0.4127255,1.721559,349.5628,-328.3743,100776.1,43.79725,-976.7292,1211.463,-0.004045491,0.008557543
414.457,0,0,363.7148,-335.6943,100846.1,46.83849,-983.9469,1226.574,-0.004120632,0.00862975
414.745,0,0,428.1308,-343.9903,-4083.892,183.3161,-986.2346,1231.859,-7.799644e-05,0.0002331063
415.027,0.8851914,1.258985,312.4748,-168.3103,16986.11,16.16838,-990.7778,1236.37,-0.00473602,0.005279271
415.289,0.8800477,1.280021,432.5228,-365.4623,27206.11,16.16838,-1001.379,1248.775,-0.0069054,0.008224752
415.549,0.8935913,1.284063,492.5468,-308.3663,20766.11,14.10653,-1013.784,1263.339,-0.01232868,0.01426747
415.811,0.4421535,1.564617,332.9708,-411.8223,46176.11,17.13058,-1026.479,1278.483,-0.006819376,0.009066078
416.095,0.4382797,1.571309,361.7628,-371.3183,86426.11,135.1546,-1036.339,1294.272,-0.00542062,0.009524885
416.391,0.4382797,1.571309,331.0188,-274.2063,95246.11,106.5808,-1044.717,1310.479,-0.004720506,0.009518114
416.665,1.004063,0.9960748,474.0028,-271.7663,28396.11,10.65292,-1054.319,1325.365,-0.006805398,0.008429331
416.942,1.028024,0.9775202,435.4508,-434.2703,-9753.893,11.70103,-1068.238,1339.93,-0.008887486,0.008887486
417.205,0.9517925,1.09095,376.4028,-365.4623,13696.11,15.84192,-1084.51,1355.944,-0.008958836,0.009268105
417.474,0.9340182,1.212223,358.8348,-385.9583,2776.108,15.13746,-1099.622,1372.151,-0.008798675,0.009261839
417.761,0.5151037,1.499621,445.6988,-429.3903,21466.11,16.16838,-1115.7,1389.164,-0.01118371,0.01218626
418.036,0.4421535,1.564617,412.0268,-516.7423,92516.11,55.41237,-1126.849,1405.436,-0.005395452,0.009326479
418.308,0.4329543,1.58177,290.0268,-435.2463,94126.11,51.08247,-1134.776,1420.741,-0.004467461,0.008935212
418.612,1.066971,0.9587153,571.1149,-335.2063,58846.11,85.03436,-1143.733,1437.206,-0.005772949,0.009544598
418.882,0.9448093,1.153666,440.3308,-316.6623,1026.108,16.1512,-1156.203,1451.609,-0.008461653,0.008461361
419.144,0.9464898,1.193321,457.4108,-329.8383,396.1077,18.76289,-1170.799,1466.496,-0.008763618,0.008994568
419.426,0.4346645,1.578228,360.2988,-395.7183,47296.11,18.10997,-1185.75,1483.412,-0.007451823,0.009525784
419.714,0.4401844,1.567935,309.5468,-348.8703,96926.11,178.677,-1195.964,1500.328,-0.005604228,0.01067127
420.001,0.4792677,1.521978,359.8108,-472.3343,90556.11,123.6942,-1204.052,1516.149,-0.004679641,0.009206115
420.326,0,0,357.3708,-389.3743,-5413.893,136.0309,-1210.077,1522.593,-0.0007664136,-0.0001530504
420.633,0.863732,1.284343,410.5628,-81.44629,13696.11,61.04811,-1215.555,1528.135,-0.005132587,0.005821827
420.933,0.8993367,1.283058,504.2589,-241.5103,17616.11,59.05498,-1227.702,1542.667,-0.008802641,0.01064008
421.223,0.8745115,1.281338,367.6188,-304.4623,28746.11,173.488,-1241.847,1558.906,-0.008949884,0.01025022
421.491,0.863732,1.284343,419.8348,-262.0063,12366.11,22.3024,-1255.799,1574.341,-0.008179899,0.008868315
421.774,0.7494457,1.402406,418.3708,-383.5183,10546.11,23.81443,-1270.911,1590.226,-0.008403343,0.008556157
422.043,0.6015034,1.478836,301.7388,-372.7823,57236.11,22.62887,-1283.606,1605.628,-0.006871107,0.009543653
422.306,0.5151037,1.499621,384.6988,-470.3823,77746.11,20.70447,-1293.015,1620.482,-0.005035943,0.008469357
422.621,0.7303461,1.432569,496.4508,-241.5103,51076.11,173.1443,-1304.164,1637.559,-0.00709076,0.01014006
422.905,0.6881332,1.420752,316.8668,-324.4703,58566.11,72.07904,-1315.441,1653.541,-0.00655229,0.009218812
423.18,0.6726952,1.459167,371.0348,-305.4383,63466.11,16.47766,-1326.332,1669.104,-0.005939383,0.008604461
423.464,1.004063,0.9960748,368.1068,-329.3503,33016.11,14.79381,-1338.254,1685.086,-0.007228272,0.008826709
423.726,1.004063,0.9960748,493.0349,-320.5663,2216.108,12.02749,-1352.335,1700.423,-0.008592796,0.009049127
